origin,year,citation_num,works_cited_num,lat,long
"情报学报,",2001,127,126,39.986580,116.310556
"情报学报,",2001,148,145,45.871021,126.525320
"情报学报,",2001,122,121,30.536748,114.375043
"情报学报,",2002,130,127,39.908704,116.315156
"情报学报,",2002,171,170,33.642504,119.007895
"情报学报,",2002,126,126,36.664748,117.016765
"情报学报,",2002,206,206,30.630869,104.083748
"情报学报,",1999,121,121,39.961575,116.366301
"情报学报,",1999,111,111,32.056377,118.777069
"情报学报,",1996,170,163,30.537860,114.365248
"情报学报,",1997,192,192,39.904030,116.407526
"情报学报,",1998,161,158,39.103958,117.169990
"情报学报,",1999,156,154,45.743721,126.632884
"情报学报,",1999,165,164,32.110012,118.961365
"情报学报,",2003,137,137,39.765397,116.371757
"情报学报,",2003,111,110,39.908753,116.315532
"情报学报,",2003,132,131,32.110012,118.961365
"情报学报,",2003,210,203,39.988010,116.311798
"情报学报,",2003,122,120,41.793594,123.410439
"情报学报,",2003,147,141,37.676571,112.748917
"情报学报,",2003,186,176,34.123128,108.830240
"情报学报,",2004,219,219,39.995304,116.308264
"情报学报,",2004,121,118,39.910997,116.315650
"情报学报,",2005,111,109,39.910997,116.315650
"情报学报,",2005,146,146,,
"情报学报,",2005,115,115,39.923210,116.315552
"情报学报,",2005,109,109,32.080199,118.756487
"情报学报,",2005,157,157,30.536660,114.375096
"情报学报,",2005,212,212,29.908385,121.637347
"情报学报,",2006,318,317,39.984156,116.351191
"情报学报,",2006,459,453,30.536660,114.375096
"情报学报,",2006,126,116,45.729932,126.631476
"情报学报,",2006,105,103,39.737598,116.179375
"情报学报,",2006,122,117,38.971192,121.527925
"情报学报,",2007,137,131,30.536660,114.375096
"情报学报,",2008,116,113,30.536660,114.375096
"情报学报,",2008,321,292,38.971192,121.527925
"情报学报,",2008,114,113,31.429585,121.303574
"情报学报,",2009,638,635,38.880964,121.536417
"情报杂志,",2004,119,119,30.536482,114.374888
"情报杂志,",2004,148,148,38.033360,114.515166
"情报杂志,",1998,186,186,31.031557,121.453679
"情报杂志,",2002,165,165,39.995304,116.308264
"情报杂志,",2002,113,113,43.471360,87.409417
"情报杂志,",2003,109,109,37.994022,114.517366
"情报杂志,",2003,134,134,39.968448,116.311529
"情报理论与实践,",1995,118,118,30.537860,114.365248
"情报理论与实践,",1996,103,103,39.908051,116.335960
"情报理论与实践,",1996,130,130,39.908280,116.335973
"情报理论与实践,",1996,137,123,41.793594,123.410439
"情报理论与实践,",1999,113,113,39.908051,116.335960
"情报理论与实践,",2000,107,105,30.537860,114.365248
"情报理论与实践,",2000,151,151,39.995304,116.308264
"情报理论与实践,",2000,139,139,30.537860,114.365248
"情报理论与实践,",2001,225,220,30.536482,114.374888
"情报理论与实践,",2003,144,141,39.908753,116.315532
"情报理论与实践,",2003,157,157,31.971240,118.812260
"情报理论与实践,",2004,111,110,39.995304,116.308264
"情报理论与实践,",2004,252,252,32.058067,118.778667
"情报理论与实践,",2004,117,116,31.974041,120.908580
"情报理论与实践,",2005,127,127,32.110012,118.961365
"情报理论与实践,",2005,134,134,,
"情报理论与实践,",2005,143,142,28.218023,112.918556
"情报理论与实践,",2006,158,149,26.067770,119.312810
"情报理论与实践,",2007,172,171,34.233611,108.937447
"情报理论与实践,",2007,116,110,30.593098,114.305392
"情报理论与实践,",2008,153,152,32.055015,118.779430
"情报理论与实践,",2008,297,293,22.543099,114.057868
"情报理论与实践,",2008,111,110,39.983939,116.475531
"情报理论与实践,",2009,120,120,,
"情报理论与实践,",2009,300,300,32.026884,118.857244
"情报理论与实践,",2009,112,110,30.514956,114.416344
"情报理论与实践,",2010,154,153,30.514956,114.416344
"情报理论与实践,",2010,129,129,31.162488,121.421182
"情报理论与实践,",2011,140,138,30.632171,104.086731
"情报科学,",2012,101,101,39.105308,117.159500
"情报科学,",2001,460,460,32.110012,118.961365
"情报科学,",2001,155,155,23.195923,113.361587
"情报科学,",2001,128,128,,
"情报科学,",2001,123,123,39.103958,117.169990
"情报科学,",2000,142,142,32.029566,118.859568
"情报科学,",2000,169,169,39.972004,116.315750
"情报科学,",2000,137,136,32.055015,118.779430
"情报科学,",2000,183,183,43.813254,125.412338
"情报科学,",2013,101,101,30.629659,104.089535
"情报科学,",1983,270,269,40.411160,116.715622
"情报科学,",2010,132,132,32.080199,118.756487
"情报科学,",2008,136,133,32.026884,118.857244
"情报科学,",2009,197,197,22.530892,113.391838
"情报科学,",2009,145,145,32.062348,118.760241
"情报科学,",2007,198,198,43.817071,125.323544
"情报科学,",2007,152,150,23.129162,113.264434
"情报科学,",2007,183,182,32.055015,118.779430
"情报科学,",2007,179,179,41.805698,123.431474
"情报科学,",2007,236,232,30.593098,114.305392
"情报科学,",2008,209,209,32.060255,118.796877
"情报科学,",2008,118,118,30.245853,120.209947
"情报科学,",2006,205,205,31.205992,121.424845
"情报科学,",2006,144,141,30.536660,114.375096
"情报科学,",2006,103,103,39.962746,116.356709
"情报科学,",2006,102,100,30.536748,114.375043
"情报科学,",2006,132,131,32.110012,118.961365
"情报科学,",2006,129,120,43.817071,125.323544
"情报科学,",2006,109,103,31.820586,117.227239
"情报科学,",2007,133,133,39.995304,116.308264
"情报科学,",2005,152,152,39.108970,117.172734
"情报科学,",2005,110,110,31.205992,121.424845
"情报科学,",2005,103,103,45.744064,126.628701
"情报科学,",2003,121,121,43.861741,125.329680
"情报科学,",2003,155,154,30.519408,114.359297
"情报科学,",2003,126,126,34.820615,113.533269
"情报科学,",2004,102,100,30.536660,114.375096
"情报科学,",2004,166,165,43.854536,125.335170
"情报科学,",2004,234,234,32.055015,118.779430
"情报科学,",2002,134,134,37.476268,121.456368
"情报科学,",2002,124,123,39.959910,116.368690
"情报科学,",2002,125,125,22.530892,113.391838
"情报科学,",2002,198,197,32.055015,118.779430
"情报科学,",2002,103,103,25.672580,104.257281
"情报科学,",2003,447,447,45.708225,126.613250
"情报资料工作,",2012,146,146,40.807282,111.702908
"情报资料工作,",2002,132,130,39.968448,116.311529
"情报资料工作,",2002,184,184,32.029566,118.859568
"情报资料工作,",2001,177,172,30.536748,114.375043
"情报资料工作,",1999,111,108,27.840750,112.948971
"情报资料工作,",1995,123,123,31.162433,121.415389
"现代图书情报技术,",2012,103,103,39.839574,119.481039
"现代图书情报技术,",2011,182,179,32.110012,118.961365
"现代图书情报技术,",2011,155,155,39.963749,116.358791
"现代图书情报技术,",2010,105,103,39.982777,116.319649
"现代图书情报技术,",2010,106,106,39.987255,116.322990
"现代图书情报技术,",2010,112,111,32.052200,118.781026
"现代图书情报技术,",2009,137,136,31.230452,121.390923
"现代图书情报技术,",2008,251,218,41.793594,123.410439
"现代图书情报技术,",2008,123,123,32.110012,118.961365
"现代图书情报技术,",2006,245,244,31.227938,121.404680
"现代图书情报技术,",2006,103,103,39.987259,116.323009
