origin,year,citation_num,works_cited_num,lat,long
"情报理论与实践,",2012,5,5,34.704536,113.617409
"情报理论与实践,",2012,8,7,43.854536,125.335170
"情报理论与实践,",2012,9,8,39.988010,116.311798
"情报理论与实践,",2012,9,9,37.797943,112.589538
"情报理论与实践,",2012,5,5,34.123128,108.830240
"情报理论与实践,",2012,7,7,43.854536,125.335170
"情报理论与实践,",2012,5,1,,
"情报理论与实践,",2012,33,33,30.537860,114.365248
"情报理论与实践,",2012,39,39,32.116192,118.956380
"情报理论与实践,",2012,1,0,30.630723,104.073090
"情报理论与实践,",2012,2,2,32.530781,105.743248
"情报理论与实践,",2012,2,2,31.760818,117.202675
"情报理论与实践,",2012,22,22,22.836028,108.349109
"情报理论与实践,",2012,2,2,39.105036,117.157116
"情报理论与实践,",2012,8,8,32.029566,118.859568
"情报理论与实践,",2012,8,8,30.514182,114.158983
"情报理论与实践,",2012,5,5,30.514768,114.352748
"情报理论与实践,",2012,5,4,,
"情报理论与实践,",2012,19,18,43.854536,125.335170
"情报理论与实践,",2012,9,9,43.854536,125.335170
"情报理论与实践,",2012,1,1,,
"情报理论与实践,",2012,10,9,30.933505,117.827951
"情报理论与实践,",2012,9,9,34.209427,108.953456
"情报理论与实践,",2012,10,8,32.116192,118.956380
"情报理论与实践,",2012,2,2,32.116192,118.956380
"情报理论与实践,",2012,3,3,30.514768,114.352748
"情报理论与实践,",2012,2,2,36.046626,103.886941
"情报理论与实践,",2012,8,6,43.914611,125.399089
"情报理论与实践,",2012,8,7,39.998650,116.349388
"情报理论与实践,",2012,7,7,45.981603,126.611148
"情报理论与实践,",2012,3,3,31.186085,121.422547
"情报理论与实践,",2012,13,12,30.630263,104.088070
"情报理论与实践,",2012,1,1,31.284893,121.544403
"情报理论与实践,",2012,48,48,39.988010,116.311798
"情报理论与实践,",2012,2,2,45.773729,126.682452
"情报理论与实践,",2012,4,4,,
"情报理论与实践,",2012,40,40,30.536482,114.374888
"情报理论与实践,",2012,30,29,30.536482,114.374888
"情报理论与实践,",2012,5,5,31.905389,117.162433
"情报理论与实践,",2012,13,8,30.536660,114.375096
"情报理论与实践,",2012,4,3,22.186835,113.543028
"情报理论与实践,",2012,3,2,31.767250,117.184869
"情报理论与实践,",2012,2,2,32.029566,118.859568
"情报理论与实践,",2012,1,1,22.537685,114.026222
"情报理论与实践,",2012,3,3,31.186085,121.422547
"情报理论与实践,",2012,10,9,30.536482,114.374888
"情报理论与实践,",2012,1,1,43.854536,125.335170
"情报理论与实践,",2012,18,16,25.065020,110.300760
"情报理论与实践,",2012,27,24,39.908753,116.315532
"情报理论与实践,",2012,1,1,31.381496,104.839651
"情报理论与实践,",2012,1,1,41.912195,123.411804
"情报理论与实践,",2012,5,5,28.121150,113.024775
"情报理论与实践,",2012,29,26,30.536482,114.374888
"情报理论与实践,",2012,3,3,39.922940,119.551812
"情报理论与实践,",2012,11,6,25.281778,110.318122
"情报理论与实践,",2012,7,7,25.281484,110.336455
"情报理论与实践,",2012,6,3,43.854536,125.335170
"情报理论与实践,",2012,2,2,29.568513,106.467889
"情报理论与实践,",2012,9,9,39.984156,116.351191
"情报理论与实践,",2012,6,6,30.471159,114.358238
"情报理论与实践,",2012,1,1,32.019857,118.746157
"情报理论与实践,",2012,40,39,34.243932,108.915075
"情报理论与实践,",2012,4,4,22.815478,108.327546
"情报理论与实践,",2012,4,3,31.877741,117.251656
"情报理论与实践,",2012,11,11,,
"情报理论与实践,",2012,2,1,25.020987,107.379753
"情报理论与实践,",2012,4,2,31.279104,121.499098
"情报理论与实践,",2012,2,2,30.940791,121.456438
"情报理论与实践,",2012,6,6,22.545808,114.056671
"情报理论与实践,",2012,2,2,30.629659,104.089535
"情报理论与实践,",2012,2,2,30.733359,103.978740
"情报理论与实践,",2012,7,7,25.065020,110.300760
"情报理论与实践,",2012,4,4,30.536660,114.375096
"情报理论与实践,",2012,1,1,40.039300,116.346865
"情报理论与实践,",2012,9,9,,
"情报理论与实践,",2012,15,14,37.797943,112.589538
"情报理论与实践,",2012,5,5,26.061712,119.200084
"情报理论与实践,",2012,1,0,30.536660,114.375096
"情报理论与实践,",2012,4,4,32.029566,118.859568
"情报理论与实践,",2012,1,1,31.304055,121.490639
"情报理论与实践,",2012,7,7,22.840468,108.294097
"情报理论与实践,",2012,23,22,30.536482,114.374888
"情报理论与实践,",2012,15,14,23.088670,113.355424
"情报理论与实践,",2012,2,2,34.717369,113.644458
"情报理论与实践,",2012,2,2,31.315883,121.392456
"情报理论与实践,",2012,4,3,34.250189,108.985650
"情报理论与实践,",2012,4,4,30.314096,120.351869
"情报理论与实践,",2013,8,7,,
"情报理论与实践,",2013,4,2,27.703692,106.917288
"情报理论与实践,",2012,1,0,,
"情报理论与实践,",2012,5,5,43.854536,125.335170
"情报理论与实践,",2012,8,7,32.116192,118.956380
"情报理论与实践,",2012,2,2,34.797820,113.655479
"情报理论与实践,",2012,4,4,31.304544,121.529205
"情报理论与实践,",2012,4,4,23.148383,113.340448
"情报理论与实践,",2012,2,2,39.060551,117.124698
"情报理论与实践,",2012,2,2,30.538456,114.372847
"情报理论与实践,",2013,54,48,39.999426,116.349613
"情报理论与实践,",2012,6,6,31.260001,120.584649
"情报理论与实践,",2013,3,3,23.050447,113.378227
"情报理论与实践,",2012,2,2,39.982777,116.319649
"情报理论与实践,",2012,5,5,,
"情报理论与实践,",2013,9,9,25.281778,110.318122
"情报理论与实践,",2012,2,2,,
"情报理论与实践,",2013,22,22,31.315883,121.392456
"情报理论与实践,",2013,10,10,,
"情报理论与实践,",2012,12,11,32.116192,118.956380
"情报理论与实践,",2013,6,5,45.744064,126.628701
"情报理论与实践,",2013,6,5,45.773729,126.682452
"情报理论与实践,",2013,1,1,39.971842,116.333253
"情报理论与实践,",2012,5,5,,
"情报理论与实践,",2013,2,2,38.017483,114.513069
"情报理论与实践,",2013,10,10,37.797943,112.589538
"情报理论与实践,",2013,10,9,32.081566,118.772455
"情报理论与实践,",2013,2,2,30.536660,114.375096
"情报理论与实践,",2013,1,1,34.797820,113.655479
"情报理论与实践,",2013,4,4,40.039184,116.346869
"情报理论与实践,",2012,2,2,,
"情报理论与实践,",2012,6,6,39.908753,116.315532
"情报理论与实践,",2013,2,2,29.568513,106.467889
"情报理论与实践,",2013,8,7,30.536482,114.374888
"情报理论与实践,",2013,5,5,,
"情报理论与实践,",2012,10,10,,
"情报理论与实践,",2012,8,8,28.288438,109.724860
"情报理论与实践,",2013,16,16,31.767250,117.184869
"情报理论与实践,",2013,1,1,19.981435,110.519447
"情报理论与实践,",2012,3,3,29.811634,106.416023
"情报理论与实践,",2013,18,13,31.051743,121.199490
